Index	NumberPSM	Gene	MaxPepProb	ReferenceIntensity	sample-01	sample-02	sample-03	sample-04	sample-05	sample-06	sample-07	sample-08	sample-09	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16
A2A699	1	Fam171a2	0.9922	16.92721661452199	NA	NA	NA	NA	NA	NA	NA	NA	16.96473293005554	16.651229912991074	16.825992886592594	16.487207408133408	16.918227540294797	16.75463399564055	16.912020585515403	16.62957937108716
A2A8Z1	1	Osbpl9	0.9958	17.089841428276028	NA	NA	NA	NA	NA	NA	17.727151006887176	17.457136349574547	17.340306105905512	17.18077305440395	17.180261257299364	17.067121851060474	17.21670202787097	17.322694055741433	17.180468089782348	17.38837940312697
A2A935	2	Prdm16	0.9917	23.945591196489122	22.926350249238414	NA	NA	24.042989717462515	NA	NA	23.928686228260013	23.74937074858149	24.104080123979607	24.017965901350927	24.051660453955833	23.954121849502595	24.50428311880251	24.552590455286786	24.481334366063304	24.42063766943363
A2AN08	6	Ubr4	1.0	17.24498647954392	NA	NA	NA	NA	NA	NA	17.275560828420335	NA	17.086884163916302	17.45225578476683	17.187259255724392	17.054924099965138	17.181843669776974	17.033660024888484	16.91798365750509	17.252027169400442
A2APB8	2	Tpx2	0.9988	18.515473304457927	NA	NA	NA	19.097563481085345	NA	NA	NA	NA	18.353060911620144	18.514534017647236	18.65839692772529	18.438867632527177	18.39243808180146	18.34357987101202	18.479943411304255	18.333409914629108
A2AQ07	1	Tubb1	0.9889	17.854077255195293	NA	NA	NA	16.935302469614125	NA	NA	18.022213354602666	17.583830209861702	18.251539753299443	17.926748372979322	18.224355273147317	17.81677364526708	18.089798532504354	18.508124905003303	18.37496292818578	17.84785326154405
A2ARV4	52	Lrp2	1.0	22.10528850763297	NA	22.289814177393332	NA	22.003419042228675	NA	21.163108275213588	22.14919638138227	22.122974195169714	22.15558373213763	22.14096779524894	22.138497308043508	22.1864377300456	22.137890150658944	22.109296953463456	22.045508675501388	22.064691330695016
A2ASZ8	1	Slc25a25	0.9998	16.619076089928136	NA	NA	NA	NA	NA	NA	17.15776018780522	17.370515156091663	16.573300307448783	16.910370722486636	16.40593273270927	16.449691117915698	16.82091291367824	16.73877759194544	16.775606196709525	17.198097730443507
A8C756	1	Thada	0.9996	17.425262728649823	NA	NA	NA	NA	NA	NA	17.92243614469981	NA	17.480436198997186	17.158608569070047	17.670143880423865	17.660045302920995	17.451092021879163	17.345183955783245	17.31711415717216	17.276946706822315
B1ARD6	2	Slfn9	0.9999	19.06885984629088	NA	NA	NA	19.45023830886753	NA	NA	19.530481822712506	19.33369968270471	19.35743276779732	19.019676216547637	19.19751788413656	19.195305679667758	19.288723802938428	19.286604029595562	19.234970652503314	19.150174766012334
