Index	NumberPSM	Gene	MaxPepProb	ReferenceIntensity	sample-01	sample-02	sample-03	sample-04	sample-05	sample-06	sample-07	sample-08	sample-09	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16
A1L3P4	1	Slc9a6	1.0	19.407741913055034	19.250314538823602	19.157340051187177	19.003467958946082	19.188468563122047	19.409023503162	19.416165432723304	19.66546070122214	19.697259322481766	NA	19.16872507509884	NA	NA	NA	NA	NA	NA
A2A699	1	Fam171a2	0.9999	18.002883062661194	18.10696361207682	18.00910770328659	17.849373232153283	17.834354569138693	17.4093667400797	17.791174955964898	17.64123541338818	17.789935612503903	NA	NA	NA	NA	NA	NA	NA	NA
A2A8L1	1	Chd5	0.9945	12.296965801740692	12.715214539706524	NA	11.983042663936573	11.486476024336723	11.869527201247825	12.442771908889299	NA	11.712986538380065	NA	NA	NA	NA	NA	NA	NA	NA
A2A8L5	1	Ptprf	1.0	13.690503234950118	12.723111385253821	13.47556214306694	13.545612998543858	13.744913386636021	13.345847457777504	13.631528363590174	13.439082153922408	13.60086120437261	NA	NA	NA	NA	NA	NA	NA	NA
A2A935	1	Prdm16	0.9578	19.90799154173848	20.02459071698487	20.14273317990618	19.968271854426867	19.86871100374434	20.444018177360494	20.429322831624468	20.611837310787337	20.486810637666935	20.122766580749662	19.271385982267038	NA	17.38095849573368	NA	NA	18.338808917007096	NA
A2AG50	1	Map7d2	1.0	15.255446677542647	15.183148635548235	15.0837321670776	14.835702681154984	15.231698739614428	15.220609561215802	14.902055342084354	15.43146381347371	15.5631101581981	NA	NA	NA	NA	16.572114183332314	NA	NA	NA
A2AGL3	1	Ryr3	0.9932	18.911768332192104	19.263807827278576	19.05261198343492	19.196617872547932	19.136518190911932	18.994094000148145	19.04300405137242	18.73726289765422	18.6890388259939	18.32591844448839	18.342651096546106	NA	NA	NA	NA	NA	NA
A2AGT5	3	Ckap5	0.9994	17.5622857240434	17.882149287389645	17.557687984773498	17.49254325828692	17.562864664123254	17.616588428162817	17.756733547725972	17.708339849470423	17.73899448816117	17.999763848953545	17.472751692323094	NA	NA	NA	NA	NA	NA
A2AJA9	2	Ajm1	1.0	18.333827500424583	18.244776421170492	18.392038385337127	18.27704830868031	18.229396481443864	18.587390697774136	18.22503075452168	18.51724236573488	18.318699423231365	18.844844488547697	18.416742188247774	NA	NA	NA	NA	NA	NA
A2ALS5	3	Rap1gap	1.0	18.336279954217144	18.21230895475691	18.452234848749338	18.368786407427205	18.300541612970076	18.511608214312535	18.399697720577823	18.431155159730384	18.255512891945674	18.7122691697316	18.405299885687125	NA	NA	NA	NA	NA	NA
A2APV2	1	Fmnl2	0.9708	16.326840801243215	16.26398040608527	16.80194372717028	16.552201831743055	16.484818512575792	16.209802360517344	16.30031250614879	16.47461168245657	16.29831368946454	15.900092688382719	16.692665461659058	NA	NA	NA	NA	NA	NA
A2AQ07	2	Tubb1	0.9989	20.628637182432694	20.950681041389526	20.811622091360547	20.94928656106461	20.79011998057001	20.483527074026075	20.274005916077037	20.648251659002412	20.904881515415227	20.33637007023798	20.68567336933928	NA	NA	NA	NA	NA	NA
A2AQ25	1	Skt	0.9998	16.877578939731084	16.84670314032879	17.021494998738238	16.98996565107818	17.2588523871323	16.806092927901283	16.89422043151798	17.07621878720591	16.865406123023345	17.034621119200576	17.21338431916419	NA	NA	NA	NA	NA	NA
A2ASZ8	2	Slc25a25	1.0	21.222661229744443	21.081281615041508	20.669234470645428	20.823866955336218	20.91120146900595	21.661352982658304	21.936218190505866	21.19795589613576	21.373136179774164	20.823596241539512	20.77448826084664	NA	NA	NA	NA	NA	NA
B0V2N1	10	Ptprs	1.0	20.014509893776708	20.093356824802544	20.11745951132378	19.985430855808165	20.206014649404544	19.945062372344953	19.858107906108295	19.960628166464264	19.970921996366915	20.058487575899665	19.973052020084253	NA	NA	NA	NA	NA	NA
B1AWN6	6	Scn2a	0.9985	20.133293164098237	20.242541268316508	19.99789244964545	20.039462612530137	20.120604166626446	20.0608001034084	20.04567626763457	20.09306122077052	20.136091467718128	19.94021853247786	21.045376247688967	NA	NA	NA	NA	NA	NA
B1AXP6	2	Tomm5	0.9949	19.781724259312433	19.82673551489471	19.778394816297315	19.23411748253945	19.532192964058726	20.10513259097925	20.077124023885187	19.93775283551381	20.249349766301666	19.819096235237964	19.22927369184889	NA	NA	NA	NA	NA	NA
B1AZP2	3	Dlgap4	0.9888	17.96804095643909	17.850508150023337	17.657225995064625	17.545137385739807	17.72311218259877	18.104819836853995	18.07561210503307	17.272219919509336	17.978442947274374	NA	NA	NA	NA	NA	NA	NA	NA
B2RSH2	11	Gnai1	1.0	23.978035179597093	23.94619708769326	24.174469526540136	24.086578979608596	24.036039601537162	23.978683245669004	23.86526115527862	24.12166427236266	23.956950449264536	24.308798957933483	23.959332717197316	NA	NA	NA	NA	NA	22.210274488071914
