Index	NumberPSM	Gene	MaxPepProb	ReferenceIntensity	sample-01	sample-02	sample-03	sample-04	sample-05	sample-06	sample-07	sample-08	sample-09	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16
A1L3P4	1	Slc9a6	1.0	19.407741913055034	19.035842690356574	19.16661577266748	19.365754040452057	19.492787955177853	19.75387753848988	19.72842929580309	19.82663329661246	19.94489016043634	NA	14.800768830668805	NA	NA	NA	NA	NA	NA
A2A699	1	Fam171a2	0.9999	18.002883062661194	17.892491763609797	18.01838342476689	18.211659313659254	18.138673961194502	17.754220775407582	18.103438819044683	17.802408008778503	18.03756645045848	NA	NA	NA	NA	NA	NA	NA	NA
A2A8L1	1	Chd5	0.9941	12.296965801740692	12.500742691239498	NA	12.345328745442544	11.79079541639253	12.214381236575708	12.755035771969084	NA	11.960617376334639	NA	NA	NA	NA	NA	NA	NA	NA
A2A8L5	1	Ptprf	1.0	13.690503234950118	12.508639536786795	13.484837864547242	13.907899080049832	14.049232778691831	13.690701493105388	13.943792226669961	13.60025474931273	13.848492042327184	NA	NA	NA	NA	NA	NA	NA	NA
A2A935	1	Prdm16	0.9685	19.90799154173848	19.810118868517847	20.15200890138648	20.33055793593284	20.17303039580015	20.78887221268838	20.741586694704253	20.77300990617766	20.73444147562151	15.907950743491169	14.903429737837	NA	13.069123441533128	NA	NA	14.162682555270457	NA
A2AG50	1	Map7d2	1.0	15.255446677542647	14.96867678708121	15.093007888557901	15.197988762660959	15.536018131670238	15.565463596543685	15.21431920516414	15.59263640886403	15.810740996152674	NA	NA	NA	NA	12.671122080182613	NA	NA	NA
A2AGL3	1	Ryr3	0.9877	18.911768332192104	19.049335978811552	19.06188770491522	19.558903954053907	19.440837582967742	19.33894803547603	19.35526791445221	18.898435493044538	18.93666966394847	14.111102607229897	13.974694852116071	NA	NA	NA	NA	NA	NA
A2AGT5	2	Ckap5	0.9988	16.99100202961269	16.874577350367808	16.463220401222213	17.010877717450494	17.214730506811325	17.049781940131346	17.502418782640053	16.74463940137505	17.597513449300283	14.084944442471574	13.016478126136978	NA	NA	NA	NA	NA	NA
A2AJA9	2	Ajm1	1.0	18.333827500424583	18.030304572703468	18.401314106817427	18.639334390186285	18.53371587349967	18.93224473310202	18.537294617601468	18.678414961125203	18.56633026118594	14.630028651289205	14.048785943817736	NA	NA	NA	NA	NA	NA
A2ALS5	3	Rap1gap	1.0	18.336279954217144	17.997837106289886	18.46151057022964	18.73107248893318	18.60486100502588	18.85646224964042	18.711961583657608	18.592327755120706	18.50314372990025	14.497453332473105	14.03734364125709	NA	NA	NA	NA	NA	NA
A2APV2	1	Fmnl2	0.9927	16.326840801243215	16.049508557618246	16.81121944865058	16.91448791324903	16.789137904631602	16.554656395845225	16.61257636922857	16.635784277846888	16.545944527419113	11.685276851124227	12.324709217229023	NA	NA	NA	NA	NA	NA
A2AQ07	2	Tubb1	0.9982	20.628637182432694	20.7362091929225	20.82089781284085	21.311572642570585	21.094439372625818	20.828381109353955	20.586269779156822	20.809424254392734	21.1525123533698	16.121554232979488	16.317717124909244	NA	NA	NA	NA	NA	NA
A2AQ25	1	Skt	1.0	16.877578939731084	16.632231291861764	17.030770720218538	17.35225173258415	17.563171779188107	17.150946963229163	17.206484294597765	17.237391382596233	17.11303696097792	12.819805281942083	12.845428074734155	NA	NA	NA	NA	NA	NA
A2ASZ8	2	Slc25a25	1.0	21.222661229744443	20.866809766574484	20.678510192125728	21.186153036842192	21.21552086106176	22.00620701798619	22.24848205358565	21.35912849152608	21.620767017728742	16.60878040428102	16.4065320164166	NA	NA	NA	NA	NA	NA
B0V2N1	10	Ptprs	1.0	20.014509893776708	19.87888497633552	20.12673523280408	20.347716937314136	20.510334041460354	20.289916407672834	20.17037176918808	20.121800761854587	20.21855283432149	15.843671738641172	15.605095775654217	NA	NA	NA	NA	NA	NA
B1AWN6	5	Scn2a	0.9997	20.133293164098237	19.995036613495177	20.1075638424225	20.42994390423784	20.398506227554638	20.37401771111999	20.35347976991786	20.2920633573192	20.367330008245553	15.814224243917335	16.67742000325893	NA	NA	NA	NA	NA	NA
B1AXP6	2	Tomm5	0.9974	19.781724259312433	19.612263666427687	19.787670537777615	19.59640356404542	19.836512356114532	20.449986626307133	20.389387886964972	20.09892543090413	20.496980604256237	15.604280397979473	14.861317447418852	NA	NA	NA	NA	NA	NA
B1AZP2	2	Dlgap4	0.9912	17.79292638004775	17.248399199785585	17.446032113514452	17.91120780926881	17.968741562384768	18.0821846134895	17.922257656138513	17.545083175149166	17.897675796437035	NA	NA	NA	NA	NA	NA	NA	NA
B2RSH2	6	Gnai1	1.0	23.677030213264537	23.33043658854831	23.887395120845206	24.209091673621856	24.15152501912832	24.102589811268707	23.952802209216525	23.954215953669603	23.78501761592567	19.743832053342032	19.29037150643472	NA	NA	NA	NA	NA	17.67876423069176
B2RUJ5	1	Apba1	1.0	18.048803737835765	17.84782947356735	18.169082271927344	18.505690098726994	18.299524015436088	18.51761893875903	18.167500557059558	17.650447025216046	18.277648398336886	NA	14.411621648276027	NA	NA	NA	NA	NA	NA
B2RXS4	1	Plxnb2	0.9993	16.679524145916094	16.855052029893486	16.35210321905828	17.022020821697836	17.020078342983837	17.152264974945876	17.152844767521646	16.622194867601745	17.45020538923603	12.404002690615174	12.195128507409276	NA	NA	NA	NA	NA	NA
B9EKR1	8	Ptprz1	1.0	21.46383214809143	21.175768019840277	21.36465174281802	21.819109827023446	21.69462664998917	21.654867102788277	21.544043395587824	21.4432403832443	21.529638081377943	17.320890541759795	17.40719157169893	NA	NA	NA	NA	NA	NA
C0HKE1	1	H2ac4	0.999	21.773275258039867	21.660600628888098	21.682335704755268	22.369230427099126	22.201411600900794	21.879727076661325	21.94846454902269	21.830589395799453	21.776032318441214	NA	16.767274854196206	NA	NA	NA	NA	NA	NA
D3YUB6	1	Btbd8	1.0	17.070948998279395	16.74534357223207	16.8363647826704	16.997244698037036	16.954844138224978	17.2835737479693	17.05707078309051	17.30736160114374	17.275033921120222	NA	NA	NA	NA	NA	NA	NA	NA
D3YVF0	2	Akap5	1.0	18.676540673911425	18.440565020966403	18.772403444855577	18.828276339355256	19.04727779285146	19.180176174045524	19.246986130933298	18.96665857078725	19.175961027623856	14.37388310404832	14.195533608980607	NA	NA	NA	NA	NA	NA
D3YXK2	1	Safb	0.9792	15.421767738369812	14.412789124497738	15.32177051867601	15.568057021174083	15.48033133297546	15.402650567706395	15.849219303675703	15.117751821118866	15.778174021116584	NA	NA	NA	NA	NA	NA	NA	NA
D3YZU1	9	Shank1	0.9999	19.754325197073435	19.61418887028576	19.860780320137952	20.07312043647082	19.870074332560275	20.118099306749738	19.989350490206444	19.879132583697807	19.956829000992826	15.399705917184145	14.515887630952925	NA	NA	NA	NA	NA	NA
D3Z7P3	10	Gls	1.0	20.074904217311555	19.740429006322035	20.15897119500497	20.5990416083452	20.40856855017457	20.375804454489074	20.203499305545808	20.25022018272517	20.325804800907367	15.78733027837609	15.937374482184822	NA	NA	NA	NA	NA	NA
E9PUL5	14	Prrt2	1.0	21.23703351814564	21.044790336534415	21.12961425111322	21.220025150440204	21.26136908567009	21.621861964209394	21.74521908134156	21.16931796251034	21.530562930875398	17.21051978954814	17.114457348499688	NA	NA	NA	NA	NA	NA
E9Q3L2	2	Pi4ka	1.0	17.5202666835169	16.98323313122061	17.58950027628676	17.685332901825397	17.494805582751788	17.664511338598196	17.82889483723857	17.724104582086504	17.632178403947815	14.19056959499837	NA	NA	NA	NA	NA	NA	NA
E9Q6P5	1	Ttc7b	0.9971	17.541908191819395	17.43667448420701	17.65517440708856	18.137611514806743	17.971839167400205	17.987722438418846	17.997529077991555	17.780280857550252	17.67338903320965	13.79082724169147	13.14564534654153	NA	NA	NA	NA	NA	NA
E9Q8I9	1	Fry	0.9987	15.322845044232496	14.59169522038347	15.00283803846179	15.78637619159057	15.235874521584073	15.83698823815287	15.18410304932344	14.94776416163908	15.547603087148302	NA	NA	NA	NA	NA	NA	NA	NA
E9Q912	7	Rap1gds1	1.0	19.67471046820947	19.184393209487464	19.485151856101442	19.844700824456083	19.633027982813484	19.82452455689976	19.85779054184019	19.652630985169907	20.044271449756128	14.772000519430062	16.0396004907866	NA	NA	NA	NA	NA	NA
E9Q942	1	Smim13	0.9641	12.594526900399126	12.029799190093446	10.932832939819141	12.520643515694713	12.619348073590526	12.422619348613981	13.988351119378423	11.289110982545859	12.758544256823294	NA	NA	NA	NA	NA	NA	NA	NA
F6SEU4	32	Syngap1	1.0	21.539315253242545	21.402959091860176	21.62473929326317	21.96495369635971	21.89291441516652	21.90365274778738	21.82252052303541	21.6968651209569	21.810499111296302	17.21262545462846	17.069136144549034	NA	NA	NA	NA	NA	NA
G5E829	42	Atp2b1	1.0	22.839393429521373	22.646073441761864	22.929009615528518	23.284983113564447	23.245835482518824	23.270119881040507	23.182939856016738	23.071083851867044	23.125387101165966	18.65407082261372	18.376733428542803	NA	NA	NA	NA	NA	18.262496252198634
G5E8K5	4	Ank3	1.0	19.571727649981764	18.988678313046933	19.2517115329825	19.755097359660528	19.754198921497682	20.080531167504653	20.066537664717565	20.06553590155963	20.10949981327791	15.589231921523263	15.347636132787068	NA	NA	NA	NA	NA	NA
O08532	9	Cacna2d1	1.0	21.62364418737227	21.278782697112007	21.590418922599003	21.976292994357404	21.754037437663733	22.02847521390154	21.95022402356702	21.707208852245046	21.816657538749702	17.133830245761054	17.30301383298269	NA	NA	NA	NA	NA	NA
O08539	19	Bin1	1.0	22.46698533298194	22.270044129457713	22.605515469461864	22.856727195950885	22.81373108820162	22.823521886589365	22.74997655322469	22.688337239420214	22.795287382716225	18.49371024553583	18.307273544151357	NA	NA	NA	NA	NA	NA
O08547	3	Sec22b	1.0	19.3059548255337	19.047145148892927	19.428639658071198	19.688709756875863	19.795792349394233	19.695132437140444	19.76767031291703	19.58409610691759	19.633867611619916	15.59281436035498	15.539057773662261	NA	NA	NA	NA	NA	NA
O08553	87	Dpysl2	1.0	25.375966870514688	25.20527393414925	25.50271881711843	25.865275053828025	25.787901190072798	25.76720734628805	25.740481390690775	25.599199679555543	25.622775190694956	21.15147568721075	20.822446168635977	20.528770781463272	21.05595106585889	20.446415787138974	20.547380744855978	20.406566641162538	20.19434654246037
O08583	2	Alyref	1.0	19.33017442870701	19.223673112758107	19.45146483813848	19.722859012551538	19.63706598043422	19.64494007511155	19.647496824623975	19.55503297033379	19.521785077901033	15.360077714734187	15.752024830778451	NA	NA	NA	NA	NA	NA
O08585	11	Clta	0.9998	22.30385465471225	22.067553190401107	22.105769100876213	22.39370153996631	22.424213293791006	22.78573271157224	22.706889101519756	22.401524238238917	22.629958408324352	17.636915795340308	17.73490150859158	NA	NA	NA	NA	NA	NA
O08599	74	Stxbp1	1.0	25.473328980295836	25.211779469228002	25.500334754208154	25.869110418093832	25.766519087047588	25.89449944543959	25.86538793357059	25.64672436840535	25.651171499961045	20.97761625804646	20.865690012599725	NA	NA	NA	NA	NA	NA
O08663	1	Metap2	0.9982	15.169886273194837	14.685582546702097	14.981551441931572	15.442045745964228	15.173330600717497	15.422230900618542	15.526191336375742	15.044270401201718	14.865236040005989	NA	NA	NA	NA	NA	NA	NA	NA
O08688	2	Capn5	0.9707	16.73854946710913	15.922093691016972	15.281940117968762	16.034276237650033	16.142687054488704	17.92028595009484	17.39806768624303	15.27384594565203	16.153475649065022	NA	NA	NA	NA	NA	NA	NA	NA
O08709	12	Prdx6	1.0	22.064929171541753	21.906914181725714	22.20592516863097	22.52286325568034	22.48600699636653	22.48905424567553	22.33899673004903	22.348884533242295	22.330289869383545	17.5720899965498	17.46159489408009	NA	NA	NA	NA	NA	NA
O08749	25	Dld	1.0	23.305808086612775	23.107826294638166	23.428047330989575	23.802877959767024	23.719992871071838	23.71981442918812	23.668465925692292	23.492478058355843	23.57749049300956	19.14623452045581	18.69999762991775	NA	NA	NA	NA	NA	NA
O08756	2	Hsd17b10	0.9966	20.349415390116974	20.268663748181652	20.34863966843688	20.822793340148348	20.75897992666383	20.84013200729036	20.737784420478263	20.526043815513297	20.801256391957143	16.146750588993974	16.19348201003129	NA	NA	NA	NA	NA	NA
O08788	12	Dctn1	1.0	20.50018015042766	20.42390364400282	20.37822063682824	20.628027358644452	20.60118642376339	20.81201016753929	20.72282194932951	20.38340678538189	20.955399706038637	16.462387597519744	16.80901197577331	NA	NA	NA	NA	NA	NA
O08911	2	Mapk12	0.9987	18.068387215054422	17.846896270171897	18.263224815438925	18.672002753361415	18.511483739436503	18.34968589167107	18.109280239006818	18.194536081050767	18.21605209376924	13.859806990848874	13.471166524533754	NA	12.302926601294065	NA	NA	NA	NA
O08914	1	Faah	0.9995	17.347575594498863	16.963665866377724	17.56820533932393	17.786499966057534	17.635518947289558	17.165856471049228	17.044364238284405	17.01913370528142	17.352492317381294	NA	NA	NA	NA	NA	NA	NA	NA
O08915	1	Aip	1.0	15.916923751301713	15.707052254633542	15.702016676762696	15.704491091250514	15.99961984903686	16.00922194732172	15.824883351552556	15.947772952880532	16.323822716736363	NA	NA	NA	NA	NA	NA	NA	NA
O08917	7	Flot1	1.0	20.83119455337657	20.65837072656751	21.01776599699366	21.34626363741927	21.275506547324003	21.15700391207492	21.084655145776853	21.026706455986904	21.10199044234261	16.87266529856229	16.5631842213796	NA	NA	NA	NA	NA	NA
O08919	1	Numbl	0.9916	17.618041143861014	17.56904585382767	17.80111350372081	18.003895762710343	18.01152102194258	17.986974554450185	17.928828502820085	18.001504655752235	18.008082846300056	13.769701589451326	13.60153357558086	NA	NA	NA	NA	NA	NA
O08997	2	Atox1	0.9993	19.162346300063284	18.88287179858213	19.071400962611317	19.357525135911843	19.479973529625777	19.435237676988717	19.50162621060082	19.355864327321587	19.281422860527798	15.20318997657392	15.158378140301647	NA	NA	NA	NA	NA	NA
O09061	1	Psmb1	0.9998	18.621666714859124	18.36047869270302	18.698319784915594	19.071843023246505	18.87211850041563	19.044080020626055	18.987220357520773	19.07069021004097	19.117538998474142	14.772662350863849	15.013707514387157	NA	NA	NA	NA	NA	NA
O09111	9	Ndufb11	1.0	21.753415155910808	21.48281501980504	21.726566475866804	22.042367424937957	22.03842053600869	22.265437690604703	22.1479052676675	22.02769768061255	22.26510505114019	17.673253437795555	17.446374712313826	NA	NA	NA	NA	NA	NA
