Index	NumberPSM	Gene	MaxPepProb	ReferenceIntensity	sample-01	sample-02	sample-03	sample-04	sample-05	sample-06	sample-07	sample-08	sample-09	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16
A2A699	1	Fam171a2	0.9945	16.92721661452199	NA	NA	NA	NA	NA	NA	NA	NA	16.776599995959838	16.549718472695677	16.925287759477982	16.712773256648667	17.23187897249705	17.06735796828046	17.010607241627714	17.027754289691995
A2A761	1	Zfp69	0.9699	18.23290300511771	NA	NA	NA	NA	NA	NA	NA	13.935610610924975	17.736451879211145	18.528203954721704	17.9429462099018	18.425836083473673	18.581518290661194	18.25605716961419	18.08919739266242	19.126210830934422
A2A8Z1	1	Osbpl9	0.9962	17.089841428276028	NA	NA	NA	NA	NA	NA	12.762478179559968	12.589985782425172	17.152173171809807	17.079261614108553	17.279556130184755	17.29268769957573	17.530353460073222	17.635418028381345	17.279054745894662	17.786554321731803
A2A935	2	Prdm16	0.981	23.945591196489122	17.91430628064871	NA	NA	18.127892634241277	NA	NA	18.964013400932803	18.882220181432118	23.915947189883905	23.91645446105553	24.15095532684122	24.179687698017855	24.81793455100476	24.8653144279267	24.57992102217562	24.818812588038465
A2AN08	4	Ubr4	1.0	16.116273691775326	NA	NA	NA	NA	NA	NA	11.169803584050108	NA	15.612528597469987	16.311164048353387	15.994671745127778	16.151777160711802	16.36678231421064	16.142803115942094	15.783901239896252	16.59039130036788
A2APB8	2	Tpx2	0.9998	18.515473304457927	NA	NA	NA	13.182466397864104	NA	NA	NA	NA	18.164927977524442	18.41302257735184	18.75769180061068	18.664433481042433	18.70608951400371	18.656303843651934	18.578530067416565	18.731584833233942
A2AQ07	1	Tubb1	0.9843	17.854077255195293	NA	NA	NA	11.020205386392885	NA	NA	13.057540527275458	12.716679642712323	18.063406819203742	17.825236932683925	18.32365014603271	18.04233949378234	18.403449964706606	18.82084887764322	18.473549584298095	18.246028180148887
A2ARV4	51	Lrp2	1.0	22.10528850763297	NA	17.3632366826708	NA	16.088321959007434	NA	16.444308488343864	17.184523554055065	17.255823628020337	21.97201550786898	22.044665479874663	22.238296313782726	22.411283937099544	22.449679094971028	22.427420102744666	22.145245992023924	22.47121504096179
A2ASZ8	1	Slc25a25	0.9994	16.619076089928136	NA	NA	NA	NA	NA	NA	12.193087360478012	12.503364588942288	16.385167373353077	16.808859282191236	16.505227605594662	16.675256966430958	17.13456434588049	17.05150156458535	16.87419285282184	17.59627264904834
A8C756	1	Thada	0.9998	17.425262728649823	NA	NA	NA	NA	NA	NA	12.957763317372597	NA	17.292303264901484	17.05709712877465	17.769438753309252	17.885611151436255	17.76474345408141	17.657907928423157	17.415700813284474	17.675121625427153
B1ARD6	2	Slfn9	0.9994	19.06885984629088	NA	NA	NA	13.53514122564629	NA	NA	14.5658089953853	14.466549115555337	19.169299833701615	18.91816477625224	19.29681275702195	19.420871528183017	19.60237523514068	19.599328002235474	19.333557308615628	19.54834968461717
B1AXP6	3	Tomm5	0.9988	21.196359113907675	NA	NA	NA	14.973136230441545	NA	NA	15.672054516980845	15.656301535761699	21.09099866666122	20.495649781740507	20.89106438989796	20.717871787487027	21.486614929876925	22.12094464721788	21.937689061522256	21.971334543300127
B1AZA5	1	Tmem245	0.955	13.80973336841184	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.153358069071832	NA	13.338274952007303	13.783728162445543	14.396077117392405	14.074408865950991	13.749871311774003
B1AZI6	1	Thoc2	0.9988	17.45682240663345	NA	NA	NA	NA	NA	NA	NA	NA	17.214800114365577	16.999326188589254	17.43818944780691	17.600904917917756	17.613560356949495	17.630561158225415	17.602749150698358	17.434745078795647
B2RQC6	62	Cad	1.0	22.855815637256445	NA	16.089956306452503	NA	15.86273716235472	NA	NA	17.99435995448088	18.020476104192564	22.676631801552922	22.694126439662018	22.979888733692263	23.153297397105927	23.163829664750832	23.12755500795747	22.85517426865876	23.237939151480912
B2RU80	1	Ptprb	0.9989	16.109957440992964	NA	NA	NA	NA	NA	NA	NA	NA	15.602652750537944	15.696004055451281	16.18624771606844	16.23571119605652	16.275349894250255	16.340267855825257	16.18912728590048	16.17972975027827
B2RXS4	4	Plxnb2	0.9999	19.8018239895889	NA	NA	NA	14.220864012993156	NA	NA	15.836711135207995	14.78293762744202	19.735096667500148	19.718941740828768	20.090590112862603	19.95155095809982	20.13250392014417	20.27015224784167	20.033402313101192	20.117273223995305
B2RY56	1	Rbm25	0.9999	18.602941826232527	NA	NA	NA	NA	NA	NA	14.441532578957153	14.274008426954511	18.532944078119286	18.634235764107302	18.941444660265848	18.98067207664549	18.928292437988933	19.116807167419015	18.974201572469386	19.069416264307968
C0HKE1	31	H2ac4	1.0	28.20843619198934	NA	NA	NA	22.341783250419407	NA	NA	22.75759698553019	23.14095887135024	27.845431277563872	27.986746865862223	28.20879446260842	28.6865862297537	28.534371133470444	28.570045100707482	28.21708254599175	28.550472678985056
D3YXK2	6	Safb	0.9993	20.590427360784208	NA	NA	NA	14.749615031648661	NA	NA	14.83429759517427	15.797653942333298	20.19143163816544	20.851640561201386	20.163464812352558	20.59300066980531	20.925164089511007	20.61960061475951	20.485979583829078	21.574792226628144
D3YZP9	1	Ccdc6	0.9995	17.774745827724207	NA	NA	NA	NA	NA	NA	12.50134183561895	13.744904707461588	17.699702693616565	17.68008757682688	18.15951746570914	18.10399811483326	18.33151249326805	18.21604208030336	18.060804956857936	18.277589358624624
D3Z7P3	1	Gls	0.972	21.41548511630681	NA	NA	NA	NA	NA	NA	15.886305241860313	16.263042167155398	21.54554525752251	21.029010081797264	21.69137121956731	21.414080994210295	22.011923823614612	22.216230619400314	21.94613324727936	21.657410369837255
E9PVA8	12	Gcn1	1.0	21.959277645101228	NA	NA	NA	NA	NA	NA	17.04750252597958	17.12497937376473	21.76744483049347	21.709895218695998	22.05295322134958	22.222265949882125	22.246480832006874	22.20541442196646	21.967950180817606	22.206431619478124
E9PVX6	4	Mki67	0.9888	21.262530344343958	NA	NA	NA	14.398512131334163	NA	NA	16.400110244684416	NA	20.979420622413034	20.81742171048057	21.031803215683183	21.150165215603533	21.51229166555391	21.66079246920952	21.304541314337037	21.581863762181626
E9PYH6	1	Setd1a	0.9996	13.774314227988617	NA	NA	NA	NA	NA	NA	NA	NA	13.509405013386965	12.779434430883562	13.416965466655421	13.950894597831992	14.19591865333167	14.31826589222477	13.681834487420673	13.802721534469011
E9PZJ8	1	Ascc3	0.9942	18.350161773720203	NA	NA	NA	NA	NA	NA	NA	NA	18.255023659830997	17.891302936297127	18.212483211290316	18.35446282747427	18.406271709750843	18.64834558923624	18.4422877514879	18.47329228551368
E9Q555	1	Rnf213	0.9999	18.09734457506766	NA	NA	NA	NA	NA	NA	NA	13.340539428435255	17.770366196822973	18.149609888779846	18.554156317731785	18.462162032421208	18.381980222910258	18.229477111826426	18.031588366151524	18.359456021149935
E9Q5G3	3	Kif23	0.9989	19.13734555448542	NA	NA	NA	NA	NA	NA	14.504021230285602	14.684692619077184	18.862604543941902	19.24881253513966	19.014756087908083	18.805849635847654	19.433124801426178	19.39753270723663	19.170930943290866	19.791717925684402
E9Q7D5	2	Arhgef5	1.0	18.035004064842788	NA	NA	NA	NA	NA	NA	NA	NA	17.461938549296846	18.02975834268907	18.046881144888847	18.258646407289554	18.18662052036975	18.131186174110034	17.807240114338146	18.191325571474216
E9Q7G0	6	Numa1	1.0	20.05301517333212	14.49987214624155	NA	NA	NA	NA	NA	15.422806741787689	15.489231182591755	20.040340820181765	20.116306081387535	20.060990785622486	20.169027816897074	20.296066036890394	20.627603906442992	20.37212045719582	20.749238477236112
E9Q7M2	2	Tsc22d2	0.9999	17.54236297858538	NA	NA	NA	NA	NA	NA	13.854814848935897	14.049630753855183	17.191307733298476	17.754937351440272	17.075295914583304	17.372276892235803	17.609500155225152	17.97125815861436	17.667305701947022	18.39410587643112
E9QAM5	1	Helz2	0.9759	15.71178254568783	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.64977175769302	15.77835259831229	15.276499652945091	15.515900584092398	NA	15.714649203216707	16.17673432677655
F6ZDS4	3	Tpr	1.0	18.926847307324664	NA	NA	NA	NA	NA	NA	14.697021772817477	NA	18.67708819305403	18.498114901474096	18.915287861711573	19.234660438894032	19.178960321593948	19.107010556475466	19.157794389850793	19.003195606391117
G5E829	3	Atp2b1	1.0	18.349473782379476	16.34930655754572	16.89759101941804	16.970294671053963	17.449106985853916	17.3468274809373	17.315019310279865	15.540215459275316	15.580309270169343	18.4548768038134	18.276031475913516	18.429781792244608	18.95961400317534	18.88788362784376	18.71972666668156	18.547280316950783	19.003004724346514
O08528	5	Hk2	1.0	19.713212482045993	NA	NA	NA	NA	NA	NA	15.076721983049435	14.569321048610362	19.366258094931197	19.493975061423768	19.84387679285315	19.90689585332763	19.94914546192403	20.130032843277753	19.520909714536696	19.984074684615663
O08529	5	Capn2	1.0	17.832568353989522	NA	NA	NA	NA	NA	NA	NA	13.289768840758738	17.360728391708257	17.610208830860273	17.473444886381174	17.677467612642502	18.180554849242576	18.05769623342784	17.874159987101134	18.61081263223383
O08547	8	Sec22b	1.0	21.066454051001962	NA	NA	NA	14.963892680094597	NA	NA	16.284406854508315	16.077232272888548	20.871618018530686	20.652908302406345	20.981950565327082	21.051527079976776	21.370104032207724	21.36257844717796	21.163111703874566	21.39764251249111
O08553	25	Dpysl2	1.0	22.519005541185873	20.184858631484026	19.643038394818294	20.027076312958098	19.200569343965256	20.051881006896636	19.680657922552903	18.29956750809499	17.997133448695866	22.493960824509628	22.583664666095228	23.0156853136122	23.00751540188958	22.9427797248684	22.83831952095753	22.631512342361113	22.953728524189792
O08573	2	Lgals9	0.9983	20.667069657220743	NA	NA	NA	NA	NA	NA	NA	16.113755917481583	20.48101793148321	20.859159218958826	20.60841099925367	20.62713309457054	20.64998550658685	20.950254886497813	20.702873996522992	21.008891703059405
O08579	1	Emd	0.9983	17.882280607508356	NA	NA	NA	NA	NA	NA	12.76378356641701	12.675410930967487	17.842062451833932	17.687468941259134	17.657330963189594	18.108895921297226	18.396269491240947	18.527954298522424	18.276113500193887	18.702676327704197
O08582	2	Gtpbp1	1.0	17.758474837884997	NA	NA	NA	NA	NA	NA	NA	12.86783067055325	17.369569289979854	17.76087312412243	17.650770717165084	17.82400005168211	17.925264781485097	17.90537566568922	17.636516964691147	18.280986382566297
O08583	4	Alyref	0.9999	22.19194882894586	NA	NA	NA	NA	NA	NA	17.3912462425649	17.704692300504334	22.116285795577618	22.359236205892483	22.466784171125447	22.666403756825677	22.5655135367962	22.481329520230886	22.350051830036612	22.559441247235597
O08585	9	Clta	1.0	22.663605707965747	NA	NA	NA	16.787455636385584	NA	NA	18.56354698704859	17.5249775265814	22.400017339979026	22.473631051031415	22.545775001446366	22.621414788337425	22.87931018906389	23.002781604770387	22.784145653192013	23.08850997269739
O08663	1	Metap2	0.9854	17.67057586282099	NA	NA	NA	NA	NA	NA	NA	12.935821454813729	17.449293699713124	17.60679593116548	17.89294045160101	18.081208887299702	17.89722271804378	17.879658169315455	17.715292975982116	18.04288924950068
O08664	1	Bcl7c	0.9969	16.88015695825734	NA	NA	NA	NA	NA	NA	NA	NA	16.48036771170602	16.571512765816898	16.466039614227306	16.99981195461592	17.05468573495457	17.053230320410577	16.857907818872913	17.32050056135189
O08665	1	Sema3a	0.985	13.313835678830593	NA	NA	NA	NA	NA	NA	NA	NA	13.250218566124936	13.46519559156056	12.245721219299844	12.820153275628865	12.48266608423271	13.053578258870465	12.560662565505051	14.775919732184958
O08709	4	Prdx6	0.9999	20.54338876523227	NA	NA	NA	NA	NA	NA	15.119306886401937	15.779656244428285	20.29615930514936	20.28080579785626	20.445373370792225	20.778663576778452	20.909046770843165	20.95168445360216	20.54940486958328	20.812360087001384
O08734	1	Bak1	0.9594	16.67359556865129	NA	NA	NA	NA	NA	NA	11.266504048335639	NA	16.520184840771968	16.429763735430427	16.67261208271458	16.92050113208155	16.882562594227668	17.040954686478376	16.90865025958277	17.183577973677682
O08749	5	Dld	1.0	20.481304373866244	14.761105726575021	14.950178414923085	15.98502253494442	15.003382704361988	15.101420433924401	15.265071216948147	15.923036913262841	15.511089479071657	20.55612509026169	20.399413622303204	20.92982092011102	21.131326715161624	21.0186425406514	21.020867450782013	20.82856740826064	21.091179484846624
O08756	2	Hsd17b10	0.9933	19.46674682878435	NA	NA	NA	NA	NA	NA	14.822134100085735	14.64607358888944	19.205987356364343	19.303238923758556	19.50284546376427	19.54478661479261	19.941259477637974	19.76640635534418	19.626748982590954	19.90826644992799
O08788	9	Dctn1	0.9998	20.447022579524706	NA	NA	NA	14.554380675379067	15.265667268154248	14.723610787885912	16.408659076130306	16.166843019167956	20.42680959987314	20.351085185619933	20.540309476586938	20.737365446481732	20.92875214424237	20.992963219222307	20.666051400721816	20.985087866027595
O08795	5	Prkcsh	0.9987	20.629094743520174	NA	NA	NA	NA	NA	NA	15.373420902256852	16.06936844979419	20.366050823151696	20.62700405793502	20.791099499672136	20.951311757831835	20.749619555487733	20.840246431097324	20.688609886140313	21.1360861555985
O08807	4	Prdx4	0.9961	20.16239298657084	NA	NA	NA	NA	NA	NA	15.000881712484619	15.153858719155156	20.057404410436575	20.345902806715124	20.318792892565263	20.709924482489953	20.523991459470814	20.44190825268926	20.17691077653715	20.64017113314227
O08810	18	Eftud2	1.0	21.254567649816046	15.199059801873393	NA	NA	15.07448813507926	NA	NA	16.149721737854815	16.335448445650282	21.209634404172718	21.30421139813237	21.41166046794159	21.551159745590905	21.542556038093903	21.604851419998962	21.406839037025858	21.579770342751917
O08914	2	Faah	0.998	19.175263644562097	NA	NA	NA	NA	NA	NA	NA	NA	18.795717119077132	19.02769969271816	19.6582552185523	19.38671047981324	19.182549765092286	19.18588046907417	18.82828654831976	19.049445741663007
O08915	3	Aip	1.0	19.727003868318565	NA	NA	NA	NA	NA	NA	14.616171692124109	14.423132536200452	19.37163687967818	19.74141078718628	19.94073111764478	19.900601075464543	19.907880135916376	19.983043645915238	19.836779821860734	20.25932349439546
O09044	6	Snap23	1.0	19.63109364707131	NA	NA	NA	15.13503141160062	NA	NA	14.993810245535762	14.777894018777934	19.275562874165583	19.873203114551714	19.738560871557105	19.67128733936722	19.915481673079846	19.95280176253145	19.748115051289926	20.142455484858267
O09061	1	Psmb1	0.9998	17.578229216006964	NA	NA	NA	NA	NA	NA	13.129254757916808	NA	17.474690043711075	17.760136492156416	17.641811991569405	18.061524177572586	17.771382121745226	17.649393868544443	17.48278116226552	17.97470578828237
