Index	NumberPSM	Gene	MaxPepProb	ReferenceIntensity	sample-01	sample-02	sample-03	sample-04	sample-05	sample-06	sample-07	sample-08	sample-09	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16
A1L3P4	1	Slc9a6	1.0	19.407741913055034	19.035842690356574	19.16661577266748	19.365754040452057	19.492787955177853	19.75387753848988	19.72842929580309	19.82663329661246	19.94489016043634	NA	14.800768830668805	NA	NA	NA	NA	NA	NA
A2A699	1	Fam171a2	0.9999	18.002883062661194	17.892491763609797	18.01838342476689	18.211659313659254	18.138673961194502	17.754220775407582	18.103438819044683	17.802408008778503	18.03756645045848	NA	NA	NA	NA	NA	NA	NA	NA
A2A884	1	Hivep3	0.9889	17.968511222364985	18.10167472091439	17.89104393229863	18.205571627856642	18.436763634554417	18.37995154119459	18.25221346209692	18.077288697974748	18.64373273812288	14.20075958954183	14.612459864619149	NA	NA	NA	NA	NA	NA
A2A8L1	1	Chd5	0.9904	12.296965801740692	12.500742691239498	NA	12.345328745442544	11.79079541639253	12.214381236575708	12.755035771969084	NA	11.960617376334639	NA	NA	NA	NA	NA	NA	NA	NA
A2A8L5	1	Ptprf	1.0	13.690503234950118	12.508639536786795	13.484837864547242	13.907899080049832	14.049232778691831	13.690701493105388	13.943792226669961	13.60025474931273	13.848492042327184	NA	NA	NA	NA	NA	NA	NA	NA
A2AG50	1	Map7d2	1.0	15.255446677542647	14.96867678708121	15.093007888557901	15.197988762660959	15.536018131670238	15.565463596543685	15.21431920516414	15.59263640886403	15.810740996152674	NA	NA	NA	NA	12.671122080182613	NA	NA	NA
A2AGT5	3	Ckap5	0.9969	17.5622857240434	17.667677438922613	17.566963706253798	17.85482933979289	17.867184056179063	17.9614424634907	18.068997410805757	17.869512444860742	17.986625326115742	13.784948011695056	13.104795447893055	NA	NA	NA	NA	NA	NA
A2AJA9	2	Ajm1	1.0	18.333827500424583	18.030304572703468	18.401314106817427	18.639334390186285	18.53371587349967	18.93224473310202	18.537294617601468	18.678414961125203	18.56633026118594	14.630028651289205	14.048785943817736	NA	NA	NA	NA	NA	NA
A2ALS5	3	Rap1gap	1.0	18.336279954217144	17.997837106289886	18.46151057022964	18.73107248893318	18.60486100502588	18.85646224964042	18.711961583657608	18.592327755120706	18.50314372990025	14.497453332473105	14.03734364125709	NA	NA	NA	NA	NA	NA
A2APV2	1	Fmnl2	0.9625	16.326840801243215	16.049508557618246	16.81121944865058	16.91448791324903	16.789137904631602	16.554656395845225	16.61257636922857	16.635784277846888	16.545944527419113	11.685276851124227	12.324709217229023	NA	NA	NA	NA	NA	NA
A2AQ07	1	Tubb1	0.9767	18.231490848444665	18.29942093236783	18.42825281996516	18.914235731085718	18.7134527539139	18.414190711117747	18.225498347101187	18.392352589850812	18.734044116113495	14.388378239256486	14.366232652459429	NA	NA	NA	NA	NA	NA
A2AQ25	1	Skt	0.9995	16.877578939731084	16.632231291861764	17.030770720218538	17.35225173258415	17.563171779188107	17.150946963229163	17.206484294597765	17.237391382596233	17.11303696097792	12.819805281942083	12.845428074734155	NA	NA	NA	NA	NA	NA
A2ASZ8	2	Slc25a25	1.0	21.222661229744443	20.866809766574484	20.678510192125728	21.186153036842192	21.21552086106176	22.00620701798619	22.24848205358565	21.35912849152608	21.620767017728742	16.60878040428102	16.4065320164166	NA	NA	NA	NA	NA	NA
B0V2N1	9	Ptprs	1.0	20.014509893776708	19.859287115965408	20.161443748968406	20.387379615372353	20.511371523054176	20.318401338418905	20.186025555731305	20.13374250361675	20.188310811441934	15.843671738641172	15.605095775654217	NA	NA	NA	NA	NA	NA
B1AWN6	5	Scn2a	0.9987	20.133293164098237	19.876022755741456	20.007168171125752	20.401748694036108	20.372088896427016	20.437290566352576	20.35347976991786	20.2920633573192	20.350937710818407	15.814224243917335	16.67742000325893	NA	NA	NA	NA	NA	NA
B1AXP6	3	Tomm5	0.9977	20.646019675328933	20.849263871304036	20.641596959847647	20.754857548648737	20.90690639869363	21.33589959339318	21.290840642548513	20.942626187876904	21.37590845553602	16.21565039219944	15.729564500012748	13.8269720953228	NA	NA	NA	NA	NA
B1AZP2	3	Dlgap4	0.9922	17.96804095643909	17.63603630155631	17.666501716544925	17.90742346724578	18.027431574654575	18.449673872181876	18.38787596811285	17.43339251489966	18.226073785228945	NA	NA	NA	NA	NA	NA	NA	NA
B2RSH2	12	Gnai1	1.0	23.978035179597093	23.729117700740204	24.18840008717776	24.466309492864127	24.341214815393055	24.33695826425218	24.201982462767155	24.28069319634311	24.1453601426771	19.984820800566247	19.5305555205243	NA	NA	NA	NA	NA	17.979769197024318
B2RUJ5	1	Apba1	0.9999	18.048803737835765	17.84782947356735	18.169082271927344	18.505690098726994	18.299524015436088	18.51761893875903	18.167500557059558	17.650447025216046	18.277648398336886	NA	14.411621648276027	NA	NA	NA	NA	NA	NA
B2RXS4	1	Plxnb2	0.9934	16.679524145916094	16.855052029893486	16.35210321905828	17.022020821697836	17.020078342983837	17.152264974945876	17.152844767521646	16.622194867601745	17.45020538923603	12.404002690615174	12.195128507409276	NA	NA	NA	NA	NA	NA
B9EKR1	9	Ptprz1	1.0	21.46383214809143	21.210977845780253	21.393111812604825	21.832592296091246	21.724332984664212	21.70493346905363	21.50686074823267	21.482910082197293	21.55450558307733	17.314661996771573	17.488167284397743	NA	NA	NA	NA	NA	NA
C0HKE1	1	H2ac4	0.9953	21.773275258039867	21.660600628888098	21.682335704755268	22.369230427099126	22.201411600900794	21.879727076661325	21.94846454902269	21.830589395799453	21.776032318441214	NA	16.767274854196206	NA	NA	NA	NA	NA	NA
D3YUB6	1	Btbd8	1.0	17.070948998279395	16.74534357223207	16.8363647826704	16.997244698037036	16.954844138224978	17.2835737479693	17.05707078309051	17.30736160114374	17.275033921120222	NA	NA	NA	NA	NA	NA	NA	NA
D3YVF0	3	Akap5	1.0	19.71524863505264	19.681982498632266	19.856195871041102	19.97977504921886	20.027363674847216	20.235967141941675	20.233713068077076	20.075517630400544	20.155705825417545	15.789106993175784	15.143243833980229	NA	NA	NA	NA	NA	NA
D3YXK2	1	Safb	0.9906	15.421767738369812	14.412789124497738	15.32177051867601	15.568057021174083	15.48033133297546	15.402650567706395	15.849219303675703	15.117751821118866	15.778174021116584	NA	NA	NA	NA	NA	NA	NA	NA
D3YZU1	8	Shank1	1.0	19.754325197073435	19.623729485844084	19.874708351794037	20.103942312768844	19.974780914489536	20.14363368196392	19.987226400396658	19.93425480207076	20.001580684742446	15.399705917184145	14.515887630952925	NA	NA	NA	NA	NA	NA
D3Z7P3	9	Gls	1.0	20.108786075088954	19.776090709467343	20.40113203100422	20.743831243625735	20.470429049571365	20.39398481232448	20.192735876095483	20.279405837069415	20.36788351621073	15.81610115171539	15.497271046433385	NA	NA	NA	NA	NA	NA
E9PUL5	12	Prrt2	1.0	21.23703351814564	21.086920031914254	21.136209528635444	21.250217712960694	21.315740517385244	21.621861964209394	21.731999932859548	21.28784834145521	21.539382252314383	17.21051978954814	17.114457348499688	NA	NA	NA	NA	NA	NA
E9Q3L2	2	Pi4ka	1.0	17.5202666835169	16.98323313122061	17.58950027628676	17.685332901825397	17.494805582751788	17.664511338598196	17.82889483723857	17.724104582086504	17.632178403947815	14.19056959499837	NA	NA	NA	NA	NA	NA	NA
E9Q555	1	Rnf213	0.9669	19.08838512386858	18.982519063389432	19.33508152537737	19.740754863268673	19.61504455699392	19.36773598590365	19.372965812207095	19.267224530530978	19.35822477757888	15.117309075505656	14.40100478267262	NA	NA	NA	NA	NA	NA
E9Q6P5	2	Ttc7b	0.9984	18.955975875364082	18.794347471204215	18.90117914568035	19.40644553617086	19.37555313279675	19.424580332538653	19.483014126545758	19.292489834176674	19.23346594684399	15.029397577122625	14.580936981649481	NA	NA	NA	NA	NA	NA
E9Q8I9	1	Fry	0.9991	15.322845044232496	14.59169522038347	15.00283803846179	15.78637619159057	15.235874521584073	15.83698823815287	15.18410304932344	14.94776416163908	15.547603087148302	NA	NA	NA	NA	NA	NA	NA	NA
E9Q912	5	Rap1gds1	1.0	19.67471046820947	19.511225012574624	19.485151856101442	19.850908179986952	19.753752027150245	20.047845480399445	20.09747092178086	19.851335493337277	20.044271449756128	14.772000519430062	15.345845384957135	NA	NA	NA	NA	NA	NA
F6SEU4	31	Syngap1	1.0	21.539315253242545	21.399309700051415	21.63999490776201	21.982681662243323	21.894622915167925	21.898693994945727	21.812832664051548	21.701070934253757	21.79877536215444	17.2483507739284	17.069136144549034	NA	NA	NA	NA	NA	NA
G5E829	43	Atp2b1	1.0	22.839393429521373	22.6470826516228	22.92582406172165	23.286081127904264	23.246725643104785	23.26142027683572	23.180878273336244	23.068509370779577	23.13258474025984	18.650311493329475	18.42952000344494	NA	NA	NA	NA	NA	18.262496252198634
G5E8K5	5	Ank3	1.0	19.577289257486346	19.06365174560382	19.366913908959507	19.71419763800478	19.603357089540822	20.246021003231043	20.217482370804564	20.158025642514207	19.985451587475623	15.231625416108963	15.113588334171958	NA	NA	NA	NA	NA	NA
O08532	9	Cacna2d1	1.0	21.62364418737227	21.278782697112007	21.590418922599003	21.976292994357404	21.754037437663733	22.02847521390154	21.95022402356702	21.707208852245046	21.816657538749702	17.133830245761054	17.30301383298269	NA	NA	NA	NA	NA	NA
O08539	20	Bin1	1.0	22.46698533298194	22.285242385743043	22.617556271333083	22.834518389118358	22.824479838126507	22.827571013705715	22.772149053358472	22.72211274464004	22.790215423237605	18.508436991508535	18.180606878030037	NA	NA	NA	NA	NA	NA
O08547	3	Sec22b	1.0	19.3059548255337	19.047145148892927	19.428639658071198	19.688709756875863	19.795792349394233	19.695132437140444	19.76767031291703	19.58409610691759	19.633867611619916	15.59281436035498	15.539057773662261	NA	NA	NA	NA	NA	NA
O08553	88	Dpysl2	1.0	25.375966870514688	25.20624115340216	25.50815735226168	25.866560698289845	25.789525147822136	25.765709677607514	25.732241672275173	25.601956670989743	25.623831805176465	21.15147568721075	20.822446168635977	20.528770781463272	21.05595106585889	20.446415787138974	20.547380744855978	20.406566641162538	20.19434654246037
O08583	2	Alyref	1.0	19.33017442870701	19.223673112758107	19.45146483813848	19.722859012551538	19.63706598043422	19.64494007511155	19.647496824623975	19.55503297033379	19.521785077901033	15.360077714734187	15.752024830778451	NA	NA	NA	NA	NA	NA
O08585	11	Clta	0.9991	22.30385465471225	22.067553190401107	22.105769100876213	22.39370153996631	22.424213293791006	22.78573271157224	22.706889101519756	22.401524238238917	22.629958408324352	17.636915795340308	17.73490150859158	NA	NA	NA	NA	NA	NA
O08599	66	Stxbp1	1.0	25.473328980295836	25.216136357700904	25.515418201843474	25.85964408879266	25.766519087047588	25.89449944543959	25.881402024145327	25.655481103194735	25.67184883100474	20.964297930397642	20.859076536373074	NA	NA	NA	NA	NA	NA
O08663	1	Metap2	0.9971	15.169886273194837	14.685582546702097	14.981551441931572	15.442045745964228	15.173330600717497	15.422230900618542	15.526191336375742	15.044270401201718	14.865236040005989	NA	NA	NA	NA	NA	NA	NA	NA
O08709	12	Prdx6	1.0	22.064929171541753	21.906914181725714	22.20592516863097	22.52286325568034	22.48600699636653	22.48905424567553	22.33899673004903	22.348884533242295	22.330289869383545	17.5720899965498	17.46159489408009	NA	NA	NA	NA	NA	NA
O08749	21	Dld	1.0	23.305808086612775	23.169198792368036	23.41603789575805	23.789874153342	23.70604510137376	23.71981442918812	23.65339289320644	23.471625942762266	23.57749049300956	19.269080550593873	18.69999762991775	NA	NA	NA	NA	NA	NA
O08756	2	Hsd17b10	0.9927	20.349415390116974	20.268663748181652	20.34863966843688	20.822793340148348	20.75897992666383	20.84013200729036	20.737784420478263	20.526043815513297	20.801256391957143	16.146750588993974	16.19348201003129	NA	NA	NA	NA	NA	NA
O08788	12	Dctn1	1.0	20.50018015042766	20.42390364400282	20.37822063682824	20.628027358644452	20.60118642376339	20.81201016753929	20.72282194932951	20.38340678538189	20.955399706038637	16.462387597519744	16.80901197577331	NA	NA	NA	NA	NA	NA
O08911	2	Mapk12	0.9972	18.068387215054422	17.846896270171897	18.263224815438925	18.672002753361415	18.511483739436503	18.34968589167107	18.109280239006818	18.194536081050767	18.21605209376924	13.859806990848874	13.471166524533754	NA	12.302926601294065	NA	NA	NA	NA
O08914	1	Faah	0.9999	17.347575594498863	16.963665866377724	17.56820533932393	17.786499966057534	17.635518947289558	17.165856471049228	17.044364238284405	17.01913370528142	17.352492317381294	NA	NA	NA	NA	NA	NA	NA	NA
O08915	1	Aip	1.0	15.916923751301713	15.707052254633542	15.702016676762696	15.704491091250514	15.99961984903686	16.00922194732172	15.824883351552556	15.947772952880532	16.323822716736363	NA	NA	NA	NA	NA	NA	NA	NA
O08917	8	Flot1	1.0	20.9124696208956	20.777475138066123	21.081586606754176	21.402081449718782	21.34071815220528	21.231896835579715	21.146987862410803	21.085504235198975	21.225461599376175	16.95394036608132	16.71296750620231	NA	NA	NA	NA	NA	NA
O08919	1	Numbl	0.9967	17.618041143861014	17.56904585382767	17.80111350372081	18.003895762710343	18.01152102194258	17.986974554450185	17.928828502820085	18.001504655752235	18.008082846300056	13.769701589451326	13.60153357558086	NA	NA	NA	NA	NA	NA
O08997	2	Atox1	0.9988	19.162346300063284	18.88287179858213	19.071400962611317	19.357525135911843	19.479973529625777	19.435237676988717	19.50162621060082	19.355864327321587	19.281422860527798	15.20318997657392	15.158378140301647	NA	NA	NA	NA	NA	NA
O09061	1	Psmb1	0.999	18.621666714859124	18.36047869270302	18.698319784915594	19.071843023246505	18.87211850041563	19.044080020626055	18.987220357520773	19.07069021004097	19.117538998474142	14.772662350863849	15.013707514387157	NA	NA	NA	NA	NA	NA
O09111	9	Ndufb11	1.0	21.753415155910808	21.48281501980504	21.726566475866804	22.042367424937957	22.03842053600869	22.265437690604703	22.1479052676675	22.02769768061255	22.26510505114019	17.673253437795555	17.446374712313826	NA	NA	NA	NA	NA	NA
O09167	3	Rpl21	0.9987	20.59603233636479	20.632333737420037	20.566064211197915	20.93671299169184	21.02850243727964	21.088144938809865	21.108266078651223	20.831634629041254	20.930565196317342	16.53510553834122	16.333003870868858	NA	NA	NA	NA	NA	NA
O35098	20	Dpysl4	1.0	21.255721684383786	21.094543105690352	21.324222579675602	21.806520828640544	21.674728873101394	21.564715195242037	21.502382148434123	21.421046621046372	21.480577249828624	17.21939131415748	16.97842257243583	NA	NA	NA	NA	NA	NA
