"Index","NumberPSM","Gene","MaxPepProb","ReferenceIntensity","no_HA_1","no_HA_2","no_HA_3","no_HA_4","plus_HA_1","plus_HA_2","plus_HA_3","plus_HA_4","Log2FC","p_value","adj_p_value","CV_no_HA","CV_plus_HA","neg_log10_p_value","type","sample_type"
"A1L3P4",1,"Slc9a6",1,19.407741913055,19.2503145388236,19.1573400511872,19.0034679589461,19.188468563122,19.409023503162,19.4161654327233,19.6654607012221,19.6972593224818,0.397079461877581,0.040816919108519,0.220162799586963,7.11744491138332,10.7745314241881,1.38915977925408,"unbound","brain"
"A2A699",1,"Fam171a2",0.9999,18.0028830626612,18.1069636120768,18.0091077032866,17.8493732321533,17.8343545691387,17.4093667400797,17.7911749559649,17.6412354133882,17.7899356125039,-0.292021598679678,0.129974164490462,0.371421666453824,9.17209427706683,11.986157499259,0.886142965649323,"unbound","brain"
"A2A8L1",1,"Chd5",0.9945,12.2969658017407,12.7152145397065,15.2095421166866,11.9830426639366,11.4864760243367,11.8695272012478,12.4427719088893,14.9585911229069,11.7129865383801,-0.102599643310583,0.937165902155441,0.969566288857488,130.010622334057,124.411660044711,0.0281835211582268,"unbound","brain"
"A2A8L5",1,"Ptprf",1,13.6905032349501,12.7231113852538,13.4755621430669,13.5456129985439,13.744913386636,13.3458474577775,13.6315283635902,13.4390821539224,13.6008612043726,0.132029816540513,0.509085114811627,0.718335402216406,27.1055738544196,9.28248400592505,0.293209601154923,"unbound","brain"
"A2A935",1,"Prdm16",0.9578,19.9079915417385,20.0245907169849,20.1427331799062,19.9682718544269,19.8687110037443,20.4440181773605,20.4293228316245,20.6118373107873,20.4868106376669,0.491920550594244,0.0102011112238,0.128671982937358,7.95670858426846,5.86985748950304,1.99135251725,"unbound","brain"
"A2AG50",1,"Map7d2",1,15.2554466775426,15.1831486355482,15.0837321670776,14.835702681155,15.2316987396144,15.2206095612158,14.9020553420844,15.4314638134737,15.5631101581981,0.19573916289418,0.332486448626198,0.582034776513411,11.7116279954012,19.1534899324805,0.478226050832449,"unbound","brain"
"A2AGL3",1,"Ryr3",0.9932,18.9117683321921,19.2638078272786,19.0526119834349,19.1966178725479,19.1365181909119,18.9940940001481,19.0430040513724,18.7372628976542,18.6890388259939,-0.296539024751169,0.0665323354667954,0.268517124029032,6.19750395054094,12.3327628971393,1.17696723136321,"unbound","brain"
"A2AGT5",3,"Ckap5",0.9994,17.5622857240434,17.8821492873896,17.5576879847735,17.4925432582869,17.5628646641233,17.6165884281628,17.756733547726,17.7083398494704,17.7389944881612,0.0813527797367648,0.533360187829245,0.736905485685088,12.7854941190809,4.25394905823191,0.272979404940408,"unbound","brain"
"A2AJA9",2,"Ajm1",1,18.3338275004246,18.2447764211705,18.3920383853371,18.2770483086803,18.2293964814439,18.5873906977741,18.2250307545217,18.5172423657349,18.3186994232314,0.126275911157567,0.336959497425525,0.585727110201347,5.20003831254552,11.6337546642759,0.472422298243551,"unbound","brain"
"A2ALS5",3,"Rap1gap",1,18.3362799542171,18.2123089547569,18.4522348487493,18.3687864074272,18.3005416129701,18.5116082143125,18.3996977205778,18.4311551597304,18.2555128919457,0.06602554066572,0.479941016687961,0.694835669449558,7.04861242223656,7.29439329577116,0.318812132834727,"unbound","brain"
"A2APV2",1,"Fmnl2",0.9708,16.3268408012432,16.2639804060853,16.8019437271703,16.5522018317431,16.4848185125758,16.2098023605173,16.3003125061488,16.4746116824566,16.2983136894645,-0.204976059746791,0.140680871842817,0.383810392157588,15.4469560743444,7.84797035488249,0.851764948889704,"unbound","brain"
"A2AQ07",2,"Tubb1",0.9989,20.6286371824327,20.9506810413895,20.8116220913605,20.9492865610646,20.79011998057,20.4835270740261,20.274005916077,20.6482516590024,20.9048815154152,-0.297760877465986,0.13443448523137,0.378078207752242,5.98843664244431,18.6162036335427,0.87148931145627,"unbound","brain"
"A2AQ25",1,"Skt",0.9998,16.8775789397311,16.8467031403288,17.0214949987382,16.9899656510782,17.2588523871323,16.8060929279013,16.894220431518,17.0762187872059,16.8654061230233,-0.118769476907246,0.326504058511186,0.577383652827796,12.1172994539455,8.29389419209302,0.486111415987504,"unbound","brain"
"A2ASZ8",2,"Slc25a25",1,21.2226612297444,21.0812816150415,20.6692344706454,20.8238669553362,20.911201469006,21.6613529826583,21.9362181905059,21.1979558961358,21.3731361797742,0.67076968476125,0.045680507042341,0.23370736828759,11.9550226743945,22.7858991910641,1.34026908417401,"unbound","brain"
"B0V2N1",10,"Ptprs",1,20.0145098937767,20.0933568248025,20.1174595113238,19.9854308558082,20.2060146494045,19.945062372345,19.8581079061083,19.9606281664643,19.9709219963669,-0.166885350013651,0.0513644157879377,0.245462905558949,6.25927757951576,3.51291473244139,1.28933764712967,"unbound","brain"
"B1AWN6",6,"Scn2a",0.9985,20.1332931640982,20.2425412683165,19.9978924496455,20.0394626125301,20.1206041666264,20.0608001034084,20.0456762676346,20.0930612207705,20.1360914677181,-0.016217859396729,0.79028594372896,0.883916436356932,7.58359764996534,2.78801487065291,0.102215742488508,"unbound","brain"
"B1AXP6",2,"Tomm5",0.9949,19.7817242593124,19.8267355148947,19.7783948162973,19.2341174825394,19.5321929640587,20.1051325909792,20.0771240238852,19.9377528355138,20.2493497663017,0.499479609722428,0.0262789904893567,0.178113157761195,17.960217557455,8.86179916562257,1.58039132226761,"unbound","brain"
"B1AZP2",3,"Dlgap4",0.9888,17.9680409564391,17.8505081500233,17.6572259950646,17.5451373857398,17.7231121825988,18.104819836854,18.0756121050331,17.2722199195093,17.9784429472744,0.163777773811059,0.356335287665627,0.600777874944771,8.87257756802728,23.7234123374602,0.448141167602362,"unbound","brain"
