Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Lipidation
A2A259,reviewed,PK2L1_MOUSE,Polycystin-2-like protein 1 (Polycystin-2L1) (Polycystic kidney disease 2-like 1 protein) (Polycystin-2 homolog),Pkd2l1 Trpp3,Mus musculus (Mouse),760,"LIPID 38; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q9P0L9"""
A2AMT1,reviewed,BFSP1_MOUSE,Filensin (Beaded filament structural protein 1) (Lens fiber cell beaded-filament structural protein CP 95) (CP95) [Cleaved into: Filensin C-terminal fragment; Filensin N-terminal fragment],Bfsp1,Mus musculus (Mouse),669,"LIPID 432; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:Q06002"""
B2RSH2,reviewed,GNAI1_MOUSE,Guanine nucleotide-binding protein G(i) subunit alpha-1 (Adenylate cyclase-inhibiting G alpha protein),Gnai1 Gnai-1,Mus musculus (Mouse),354,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:P63096""; LIPID 3; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P10824"""
B9EHT4,reviewed,CLIP3_MOUSE,CAP-Gly domain-containing linker protein 3 (Cytoplasmic linker protein 170-related 59 kDa protein) (CLIP-170-related 59 kDa protein) (CLIPR-59),Clip3 Clipr59,Mus musculus (Mouse),547,"LIPID 534; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 535; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
D3YVF0,reviewed,AKAP5_MOUSE,A-kinase anchor protein 5 (AKAP-5) (A-kinase anchor protein 150 kDa) (AKAP 150) (P150) (cAMP-dependent protein kinase regulatory subunit II high affinity-binding protein),Akap5 Akap150,Mus musculus (Mouse),745,"LIPID 36; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 123; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
E9Q3E1,reviewed,AL3B2_MOUSE,Aldehyde dehydrogenase family 3 member B2 (EC 1.2.1.3) (Aldehyde dehydrogenase 8),Aldh3b2,Mus musculus (Mouse),479,"LIPID 476; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000305|PubMed:25286108"""
E9Q557,reviewed,DESP_MOUSE,Desmoplakin (DP),Dsp,Mus musculus (Mouse),2883,"LIPID 2492; /note=""Omega-hydroxyceramide glutamate ester""; /evidence=""ECO:0000250"""
E9Q9A9,reviewed,OAS2_MOUSE,"2'-5'-oligoadenylate synthase 2 ((2-5')oligo(A) synthase 2) (2-5A synthase 2) (EC 2.7.7.84) (2',5'-oligoadenylate synthetase-like 11)",Oas2 oasl11,Mus musculus (Mouse),742,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:P29728"""
J3QMK6,reviewed,AL3B3_MOUSE,Aldehyde dehydrogenase family 3 member B3 (EC 1.2.1.3),Aldh3b3,Mus musculus (Mouse),479,"LIPID 476; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000305|PubMed:25286108"""
O08523,reviewed,TECTA_MOUSE,Alpha-tectorin,Tecta,Mus musculus (Mouse),2155,"LIPID 2091; /note=""GPI-anchor amidated asparagine""; /evidence=""ECO:0000255"""
O08524,reviewed,TECTB_MOUSE,Beta-tectorin,Tectb,Mus musculus (Mouse),329,"LIPID 305; /note=""GPI-anchor amidated alanine""; /evidence=""ECO:0000255"""
O08530,reviewed,S1PR1_MOUSE,Sphingosine 1-phosphate receptor 1 (S1P receptor 1) (S1P1) (Endothelial differentiation G-protein coupled receptor 1) (Lysophospholipid receptor B1) (Sphingosine 1-phosphate receptor Edg-1) (S1P receptor Edg-1) (CD antigen CD363),S1pr1 Edg1 Lpb1,Mus musculus (Mouse),382,"LIPID 328; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
